Sample,Measure,wsize,Agent,bias,hitmiss,bw,density,ngrams,Reward,pvalues
52,HX_HY_HZ,8,oie,2.2,0.5,2.3,expset,1t2,1.0,"[7.400294312093981e-117, 7.656050626608514e-107, 1.6592983509664986e-173]"
52,HX_HY_HZ,8,rdn,8.9,0.4,3.7,gausset,2t4,0.5419392079364957,"[3.3898311710047047e-35, 4.826088231605121e-15, 0.0006126014463119622]"
52,HX_HY_HZ,8,rdn,5.6,0.9,1.0,gausset,1t4,0.003467133379218311,"[0.005664427141943872, 0.00028160645757413825, 4.8271646094252384e-12]"
52,HX_HY_HZ,8,rdn,0.0,0.7,3.7,expset,1t4,3.2049432889689496e-159,"[4.972280633958059e-138, 0.3649463353903867, 5.6682316412945926e-151]"
52,HX_HY_HZ,8,oie,8.9,0.4,5.0,gausset,1t3,1.0,"[7.154929879302783e-179, 2.2887127255939396e-63, 2.2454547294490077e-158]"
52,HX_HY_HZ,8,rdn,0.0,0.2,2.3,expset,2t4,1.6079830037205378e-41,"[3.8511102400856255e-181, 0.0939310082118805, 4.951518812152702e-181]"
52,HX_HY_HZ,8,oie,6.7,0.5,3.7,expset,2t4,1.0,"[3.3854708910148136e-37, 1.6845092953780308e-172, 3.355981766256453e-178]"
52,HX_HY_HZ,8,oie,6.7,1.0,5.0,gausset,2t4,1.0,"[1.1157048663185088e-178, 8.129420482483053e-59, 3.1477765332103792e-170]"
52,HX_HY_HZ,8,oie,0.0,0.5,5.0,expset,1t2,1.0,"[1.632636590668256e-89, 1.7929060955627618e-103, 5.815521413664527e-168]"
52,HX_HY_HZ,8,rdn,6.7,0.6,2.3,gausset,2t4,0.9996293340549253,"[4.555800946731767e-20, 3.707346586765195e-07, 2.1734850482472764e-08]"
52,HX_HY_HZ,8,rdn,2.2,0.5,3.7,expset,1t4,8.389743486545423e-198,"[3.061229910136393e-181, 0.4537848384665226, 3.061229910136393e-181]"
52,HX_HY_HZ,8,oie,4.4,0.3,1.0,gausset,3t4,0.9999999995728192,"[3.662776991716824e-176, 4.2718081410892275e-13, 2.4986465965558694e-176]"
52,HX_HY_HZ,8,oie,3.3,1.0,2.3,expset,2t3,1.0,"[1.0027543430159955e-36, 5.818601221915944e-173, 3.872816216077802e-178]"
