Sample,Measure,wsize,Agent,bias,hitmiss,bw,density,ngrams,Reward,ABpvalue,BCpvalue,ACpvalue
52,HX_HY_HZ,8,oie,0.0,0.2,2.3,expset,2t4,0.902998429722173,0.010857075024575596,0.902998429722173,0.9891429249754244
52,HX_HY_HZ,8,rdn,7.8,0.9,2.3,gausset,1t2,0.49603147576349427,0.4263787644281533,0.49603147576349427,0.5736212355718463
52,HX_HY_HZ,8,rdn,0.0,0.8,3.7,gausset,3t4,0.6962627318873267,0.3025733415974702,0.6962627318873267,0.6974266584025303
52,HX_HY_HZ,8,oie,3.3,0.5,2.3,expset,1t3,0.5260861265354467,0.01503715149047065,0.5260861265354467,0.9849628485095294
52,HX_HY_HZ,8,rdn,0.0,0.3,1.0,gausset,1t4,0.5725948202725357,0.39463729122108815,0.5725948202725357,0.6053627087789115
52,HX_HY_HZ,8,oie,0.0,0.5,2.3,expset,1t2,0.9666654632590218,0.025994893192980113,0.9666654632590218,0.9740051068070198
52,HX_HY_HZ,8,rdn,2.2,0.9,5.0,expset,2t3,0.0005408582433466112,0.000384510891893261,0.0005408582433466112,0.9996154891081067
52,HX_HY_HZ,8,oie,10.0,0.8,5.0,gausset,2t3,,,,
52,HX_HY_HZ,8,oie,10.0,0.2,2.3,gausset,2t4,0.6196194348146421,0.0034538793615951106,0.6196194348146421,0.9965461206384049
52,HX_HY_HZ,8,rdn,1.1,0.4,3.7,gausset,1t2,0.3871171140356913,0.2983119208405059,0.3871171140356913,0.7016880791594942
52,HX_HY_HZ,8,oie,1.1,0.4,1.0,gausset,1t4,0.7272830283975994,4.2669589008362675e-06,0.7272830283975994,0.9999957330410991
52,HX_HY_HZ,8,oie,1.1,0.5,5.0,expset,1t4,0.5880838956131489,0.015432980416164937,0.5880838956131489,0.9845670195838351
52,HX_HY_HZ,8,rdn,5.6,0.7,3.7,expset,1t2,0.0,0.0,0.0,1.0
52,HX_HY_HZ,8,oie,10.0,0.4,2.3,gausset,2t4,0.6880053624286118,2.0891591097633058e-07,0.6880053624286118,0.999999791084089
52,HX_HY_HZ,8,oie,5.6,0.1,1.0,gausset,2t3,0.6936881386512572,0.041215372430795004,0.6936881386512572,0.958784627569205
52,HX_HY_HZ,8,oie,1.1,0.8,5.0,expset,1t2,0.566860281794844,0.01630644762776471,0.566860281794844,0.9836935523722352
52,HX_HY_HZ,8,rdn,8.9,0.8,5.0,gausset,2t4,,,,
52,HX_HY_HZ,8,oie,5.6,0.2,5.0,expset,2t3,0.8800609260909202,0.012559606650720359,0.8800609260909202,0.9874403933492797
52,HX_HY_HZ,8,oie,8.9,0.4,2.3,gausset,2t3,0.7045587664928444,1.5770963762112636e-07,0.7045587664928444,0.9999998422903624
52,HX_HY_HZ,8,rdn,6.7,0.1,2.3,expset,3t4,0.02696712643237437,0.026265049622650336,0.02696712643237437,0.9737349503773495
52,HX_HY_HZ,8,oie,5.6,0.2,2.3,expset,2t4,0.8849963811487147,0.011742739305111183,0.8849963811487147,0.9882572606948888
52,HX_HY_HZ,8,oie,5.6,0.1,3.7,gausset,1t3,0.67868397484692,0.04202498248855299,0.67868397484692,0.9579750175114471
52,HX_HY_HZ,8,rdn,0.0,0.9,5.0,gausset,1t2,0.4909727253292811,0.4454556764485826,0.4909727253292811,0.5545443235514169
52,HX_HY_HZ,8,oie,6.7,0.6,3.7,expset,1t4,0.5009591477886676,0.02344053986317821,0.5009591477886676,0.9765594601368218
52,HX_HY_HZ,8,oie,4.4,0.6,3.7,gausset,1t3,0.719254670758992,4.68187283365837e-07,0.719254670758992,0.9999995318127166
52,HX_HY_HZ,8,rdn,7.8,0.9,5.0,expset,2t4,0.0009826281293872016,0.0007344826969541039,0.0009826281293872016,0.9992655173030459
52,HX_HY_HZ,8,oie,5.6,0.2,5.0,gausset,1t4,0.5881155305746444,0.003518438904394059,0.5881155305746444,0.9964815610956059
52,HX_HY_HZ,8,rdn,7.8,0.7,1.0,gausset,3t4,0.5512390655828932,0.35880628946320514,0.5512390655828932,0.6411937105367949
52,HX_HY_HZ,8,oie,7.8,0.3,5.0,expset,1t4,0.4907041077731172,0.027781014827958517,0.4907041077731172,0.9722189851720415
52,HX_HY_HZ,8,oie,2.2,0.3,5.0,expset,1t3,0.5259774418641393,0.023633241480825178,0.5259774418641393,0.9763667585191749
52,HX_HY_HZ,8,rdn,4.4,0.3,2.3,gausset,1t4,0.596070488116165,0.396772996779901,0.596070488116165,0.603227003220099
52,HX_HY_HZ,8,rdn,0.0,0.5,1.0,expset,1t3,0.9999993199859513,5.340161437863672e-07,0.9999993199859513,0.9999994659838563
52,HX_HY_HZ,8,rdn,10.0,0.7,5.0,expset,2t4,0.0012182348574712816,0.0009411357191419434,0.0012182348574712816,0.9990588642808581
52,HX_HY_HZ,8,oie,0.0,0.7,2.3,expset,2t4,0.9235561531189244,0.00463992910352186,0.9235561531189244,0.9953600708964782
52,HX_HY_HZ,8,oie,0.0,0.8,2.3,gausset,2t3,0.919283043735414,0.0011790344397945038,0.919283043735414,0.9988209655602055
52,HX_HY_HZ,8,rdn,8.9,0.9,5.0,expset,3t4,0.011412121089781383,0.00962662279964413,0.011412121089781383,0.9903733772003558
52,HX_HY_HZ,8,rdn,4.4,0.8,2.3,gausset,2t4,0.5080458938491681,0.44309106722326264,0.5080458938491681,0.5569089327767369
52,HX_HY_HZ,8,rdn,4.4,0.1,2.3,expset,1t3,0.0,0.0,0.0,1.0
52,HX_HY_HZ,8,oie,6.7,0.8,1.0,expset,2t4,0.9453831179870595,0.0014478019590705839,0.9453831179870595,0.9985521980409294
52,HX_HY_HZ,8,oie,0.0,0.6,2.3,gausset,3t4,0.9997645146773455,0.00020649892544580994,0.9997645146773455,0.9997935010745542
52,HX_HY_HZ,8,oie,7.8,0.9,5.0,gausset,1t2,0.8114869810527423,4.003559375110347e-08,0.8114869810527423,0.9999999599644063
