,"$H[h(X, X)]$","$H[h(Y, Y)]$","$H[h(Z, Z)]$","$H[h(Y+Z, Y+Z)]$","$H[h(X+Z, X+Z)]$","$H[h(X+Y, X+Y)]$","$I[h(Y, X)]$","$I[h(Z, X)]$","$I[h(Y+Z, X)]$","$I[h(Z, Y)]$","$I[h(X+Z, Y)]$","$I[h(X+Y, Z)]$"
37,-1066.0400112713608,-743.0240000355233,-707.3092182129038,56.09809071408427,-35.79979342415045,-144.14922585997112,-883.9920934502346,-772.057664160332,-202.06584404931445,-738.6104172254828,-241.91394614979345,-238.24083695909354
38,-1079.582525692087,-736.561980326946,-622.3713255244004,73.46410902656183,-25.012463315505258,-101.66261613653569,-862.2792391754924,-720.2131070567564,-170.3011671550686,-655.9253952069139,-192.1472483255726,-172.85385904548497
39,-1035.5290445243872,-759.4219759681802,-623.0606926262983,69.84610166550921,-11.068235417847486,-97.45420247193313,-861.7382805996815,-696.611947025891,-162.3016260539744,-681.7855952816798,-199.36461577622032,-180.35393300878167
40,-1073.2563740284172,-744.2608068420486,-563.1173766645895,77.91815604865728,4.400335324586357,-113.3805028151575,-876.6158969405313,-674.237360668226,-164.4182790448842,-635.4850056455208,-190.5448207937802,-194.92061975587748
41,-1047.270316225226,-655.5170682378671,-588.2278225475227,89.63755536025474,0.8358791620198104,-51.562657729295665,-802.2252793751672,-677.1603388009129,-138.18302762707478,-629.2318636750447,-168.4803426651602,-140.86324452153755
42,-1091.774592256387,-704.5598552424723,-614.8771756438417,74.36439417668652,-31.28743083780326,-98.50254997024562,-857.6245166124257,-713.1721704684765,-170.62326068449343,-652.0485783979634,-196.77759800942457,-167.48044751258132
43,-1048.35546154079,-698.391057951179,-665.2231862769712,67.25182327369681,-27.25252374912636,-66.08366491781068,-831.660549463792,-732.6595775626388,-171.97132078427504,-682.4842740019601,-188.4960467113837,-169.11702156583408
44,-1050.5735367270422,-648.2917580117776,-646.2885594126391,75.86512598150912,-21.458713637182612,-62.07357274691219,-805.3479936423716,-724.5707525866882,-166.0447307176211,-687.7593794495042,-194.032414888073,-166.50845732131268
45,-1053.929367830061,-737.9133262981902,-686.0720724774201,71.12648185272543,-30.090324142183547,-107.1149558061868,-855.6594079185718,-749.5058352248966,-177.30873222970072,-735.2888326949275,-212.47467809029047,-221.61288783270066
46,-1047.4826916795216,-740.7253748032605,-689.6769214859844,66.9931528039408,-22.227719116470123,-86.6160911476348,-843.7485122530071,-753.8296089797625,-168.48063463299493,-717.9661160487622,-198.86037360964585,-189.5179353110858
47,-1086.8916326993233,-746.0902384365932,-671.4018571788846,68.93167808471271,-52.17410905070428,-115.41643715454164,-873.5975958029611,-766.7087903506673,-178.72620795245223,-701.0740194693893,-213.53708652104493,-193.83327527702164
48,-1039.0204578715625,-665.8945356052077,-673.436482398152,72.61366260627123,-25.81046950501008,-77.46771601524982,-815.4518330144268,-735.5504163775832,-165.23381351159608,-717.0794366256987,-214.20153309053774,-194.862605447211
49,-1053.7949553960523,-749.5138486649047,-637.1915693188164,70.63276938013414,-16.19061179260841,-122.05382523643631,-873.2882561198089,-720.1492959717162,-171.20220178446692,-695.6183934205246,-211.2633929565605,-213.42610760398318
50,-1044.6952695311338,-832.1307550132465,-697.8813554320033,57.276076149185585,-35.51370208114079,-139.61258942258098,-937.9231018110124,-756.0201955952454,-196.25896889417484,-757.128810306947,-231.72745868484049,-215.85907441834
51,-1061.6212016724442,-825.8199895461902,-622.3954688372078,61.26694425574831,-29.655333562820534,-141.7019205109755,-925.9433204490477,-701.4963659891888,-181.96032759831607,-672.1351525362122,-209.34517867631652,-204.9980654241791
